ticker,first_date,last_date,rows,days_in_position,trades,total_cost,total_return_market,total_return_strategy_gross,total_return_strategy_net,market_perf_pct,strategy_gross_perf_pct,strategy_net_perf_pct,alpha_net_pct,max_drawdown_market_pct,max_drawdown_strategy_gross_pct,max_drawdown_strategy_net_pct,closed_trades,avg_trade_return_pct,win_rate_pct,avg_entry_vix,avg_exit_vix,avg_holding_days,profit_factor,avg_win_pct,avg_loss_pct,max_consecutive_losses,num_stop_loss,num_take_profit,num_trailing_stop,num_vix_exit,num_end_of_data,pct_stop_loss,pct_take_profit,pct_trailing_stop,pct_vix_exit,pct_end_of_data
A2A.MI,2015-01-02,2026-04-08,2862,1654.0,98.0,0.147,5.008898028450173,2.279980227896168,1.9679701971134458,400.8898028450173,127.99802278961678,96.79701971134457,-304.0927831336727,-48.30763593667643,-19.747599461356902,-20.480764833867138,49,1.5862319659608628,59.183673469387756,16.27204081632653,20.498775510204084,48.12244897959184,1.782297069971709,6.10623014927396,-4.967765399843128,2,14,0,18,17,0,28.57142857142857,0.0,36.734693877551024,34.69387755102041,0.0
AMP.MI,2015-01-02,2026-04-08,2862,1501.0,122.0,0.183,2.06545745262427,1.0743115261665188,0.8946172300636636,106.54574526242699,7.4311526166518815,-10.538276993633644,-117.08402225606063,-82.38175144363512,-62.86549666165647,-65.80637269293494,61,0.15970251851272776,44.26229508196721,15.723606557377048,17.81049180327869,35.24590163934426,1.0493357065838023,7.674161500310459,-5.807661967032528,6,29,0,22,10,0,47.540983606557376,0.0,36.0655737704918,16.39344262295082,0.0
AZM.MI,2015-01-02,2026-04-08,2862,1448.0,112.0,0.168,4.005622449741004,2.511401855823711,2.121928991449255,300.5622449741004,151.1401855823711,112.19289914492552,-188.36934582917488,-57.91609730491834,-43.35964254086273,-45.550134378858985,56,1.955525220928865,42.857142857142854,15.704464285714284,18.3775,37.214285714285715,1.615543627983114,11.975676548270036,-5.5595882745770115,5,28,0,17,11,0,50.0,0.0,30.357142857142854,19.642857142857142,0.0
BAMI.MI,2015-01-02,2026-04-08,2862,1315.0,142.0,0.213,2.540174004787567,0.8274589788280778,0.6689752806572812,154.0174004787567,-17.254102117192215,-33.10247193427188,-187.1198724130286,-91.17940801352935,-66.60926118116879,-70.38101215748651,71,-0.12317546214440084,32.3943661971831,15.341408450704225,17.65492957746479,26.56338028169014,0.9679129084203166,11.469926662758779,-5.678203563660507,6,44,0,16,11,0,61.97183098591549,0.0,22.535211267605636,15.492957746478872,0.0
BMED.MI,2015-01-02,2026-04-08,2862,1643.0,94.0,0.14100000000000001,6.914729396227674,2.0225614708398494,1.7566911685081075,591.4729396227674,102.25614708398494,75.66911685081075,-515.8038227719567,-56.17409235765405,-37.67505236035996,-40.235323355255645,47,1.7264379732574011,38.297872340425535,15.819574468085104,20.03063829787234,50.340425531914896,1.5786000221165328,12.299005374451985,-4.835845241277167,6,23,0,11,13,0,48.93617021276596,0.0,23.404255319148938,27.659574468085108,0.0
BPE.MI,2015-01-02,2026-04-08,2862,1399.0,148.0,0.222,4.613642872590838,0.7293752428255056,0.5840096347952521,361.3642872590838,-27.06247571744944,-41.59903652047478,-402.9633237795586,-80.4056644672082,-74.33445500563785,-78.248002074753,74,-0.2834599367683318,37.83783783783784,15.424054054054055,17.372027027027027,27.12162162162162,0.9301223311996074,9.971650256235701,-6.5257009238142665,5,41,0,22,11,0,55.4054054054054,0.0,29.72972972972973,14.864864864864865,0.0
CPR.MI,2015-01-02,2026-04-08,2862,1582.0,100.0,0.15,2.8232625714415636,1.3281932023273881,1.1432399442392134,182.32625714415636,32.81932023273881,14.323994423921338,-168.00226272023502,-61.1309641977835,-47.12697651040939,-49.30202668509233,50,0.5997299371771296,42.0,17.165599999999998,19.592200000000002,45.38,1.1986681100450782,8.615435372645345,-5.204746412644679,5,24,0,13,13,0,48.0,0.0,26.0,26.0,0.0
DIA.MI,2015-01-02,2026-04-08,2862,1462.0,114.0,0.171,2.11669520892707,1.0250634958331715,0.863832739157709,111.66952089270698,2.5063495833171467,-13.616726084229104,-125.28624697693608,-71.89876365306046,-55.52697793942869,-59.11635866570721,57,0.15231724090280666,35.08771929824561,15.802280701754384,18.498771929824564,36.719298245614034,1.0432019691926282,10.48235297072738,-5.431485856299664,7,32,0,15,10,0,56.14035087719298,0.0,26.31578947368421,17.543859649122805,0.0
ENEL.MI,2015-01-02,2026-04-08,2862,1707.0,82.0,0.123,4.797439042077324,1.7499071156307309,1.5472836066845903,379.7439042077324,74.99071156307309,54.72836066845903,-325.0155435392734,-50.0765882338449,-33.20842314837817,-35.0856325742659,41,1.2885558352140465,48.78048780487805,16.53731707317073,21.20341463414634,59.707317073170735,1.6087640557839604,6.980723809705911,-4.1325565214448705,9,12,0,13,16,0,29.268292682926827,0.0,31.70731707317073,39.02439024390244,0.0
ENI.MI,2015-01-02,2026-04-08,2862,1717.0,90.0,0.135,3.192696142077283,1.2848733071780913,1.1227203480944619,219.2696142077283,28.487330717809133,12.272034809446186,-206.9975793982821,-59.77092084042177,-34.6452929842127,-39.729636243959646,45,0.524502422628596,40.0,16.58422222222222,21.137999999999998,54.733333333333334,1.1928238484124727,8.111535520792945,-4.533519642814304,7,21,0,7,17,0,46.666666666666664,0.0,15.555555555555555,37.77777777777778,0.0
ERG.MI,2015-01-02,2026-04-08,2862,1454.0,98.0,0.147,4.063465209564477,1.8333781462100245,1.5825541760554298,306.34652095644765,83.33781462100245,58.25541760554298,-248.09110335090466,-50.969479445993905,-36.12081034833541,-39.12000466079717,49,1.350856969600932,36.734693877551024,16.225510204081633,18.98204081632653,42.734693877551024,1.4579920869414063,11.70658263814421,-4.662145031488712,7,27,0,12,10,0,55.10204081632652,0.0,24.489795918367346,20.408163265306122,0.0
FBK.MI,2015-01-02,2026-04-08,2862,1516.0,102.0,0.153,6.244030721233724,1.9300279033254557,1.6556077157838345,524.4030721233723,93.00279033254557,65.56077157838345,-458.8423005449889,-42.826451892950445,-47.971827718867054,-51.157849215234144,51,1.3991495853126514,43.13725490196079,16.248431372549017,19.65176470588235,42.84313725490196,1.4566463765146258,10.34631651752518,-5.388356363262367,8,22,0,17,12,0,43.13725490196079,0.0,33.33333333333333,23.52941176470588,0.0
G.MI,2015-01-02,2026-04-08,2862,1770.0,94.0,0.14100000000000001,3.87615815021746,1.0386093612567286,0.9020936139248852,287.615815021746,3.8609361256728647,-9.790638607511482,-297.4064536292575,-46.74358914082535,-53.85116148492833,-55.751579685369144,47,0.02797387363429858,36.17021276595745,15.69042553191489,20.780212765957447,54.319148936170215,1.0096623098398947,8.081588441424222,-4.5357410481133265,14,19,0,9,19,0,40.42553191489361,0.0,19.148936170212767,40.42553191489361,0.0
HER.MI,2015-01-02,2026-04-08,2862,1718.0,86.0,0.129,3.1911729264096964,1.7052032775831039,1.4988701226320524,219.11729264096965,70.52032775831039,49.88701226320524,-169.23028037776442,-50.14797706571703,-33.82088675202358,-36.35296778330216,43,1.2896961724186735,41.86046511627907,16.56953488372093,20.7753488372093,57.372093023255815,1.5007346525322014,9.233782168100646,-4.430045744472347,7,15,0,11,17,0,34.883720930232556,0.0,25.581395348837212,39.53488372093023,0.0
IG.MI,2016-11-07,2026-04-08,2390,1465.0,72.0,0.108,4.005816570798313,2.153616620067681,1.9332373115541388,300.5816570798313,115.36166200676811,93.32373115541388,-207.2579259244174,-34.66794613887287,-24.74924130456668,-28.70896961562277,36,2.186727510592901,47.22222222222222,16.405555555555555,20.468611111111112,58.416666666666664,1.9535316107769758,9.487102573795502,-4.345187019641006,5,13,0,8,15,0,36.11111111111111,0.0,22.22222222222222,41.66666666666667,0.0
INW.MI,2015-06-22,2026-04-08,2744,1468.0,76.0,0.114,2.7038661219059774,1.8814897339775676,1.6787019715354214,170.38661219059773,88.14897339775676,67.87019715354215,-102.51641503705558,-42.06408156640033,-27.667176146411364,-29.38526584999489,38,1.7219474327991533,42.10526315789473,15.628947368421048,18.29842105263158,55.3421052631579,1.6622010105285108,10.265431423012272,-4.491495469174023,4,18,0,10,10,0,47.368421052631575,0.0,26.31578947368421,26.31578947368421,0.0
ISP.MI,2015-01-02,2026-04-08,2862,1630.0,112.0,0.168,4.8000626303737315,1.216354276428234,1.028031245581466,380.0062630373732,21.6354276428234,2.803124558146597,-377.2031384792266,-54.12080014117804,-58.6623132069534,-61.112608069558014,56,0.5518468639854655,41.07142857142857,15.8125,19.341785714285713,41.982142857142854,1.1596440459551602,9.760020875129431,-5.865971386205785,11,26,0,15,15,0,46.42857142857143,0.0,26.785714285714285,26.785714285714285,0.0
LDO.MI,2015-01-02,2026-04-08,2862,1567.0,134.0,0.201,8.341355193154833,4.899621075394233,4.0083024115958725,734.1355193154833,389.9621075394233,300.8302411595873,-433.305278155896,-73.16257391407443,-31.033168684778335,-33.27508968364609,67,2.782448082862542,44.776119402985074,15.977313432835821,18.528208955223885,33.97014925373134,1.9185220120044655,12.979496199297973,-5.485428768301321,4,33,0,22,12,0,49.25373134328358,0.0,32.83582089552239,17.91044776119403,0.0
MB.MI,2015-01-02,2026-04-08,2862,1657.0,126.0,0.189,4.564758320399295,0.6724749211361952,0.5563041230840091,356.4758320399295,-32.75250788638048,-44.36958769159909,-400.8454197315286,-60.194146576826604,-65.05736662822518,-68.26597210211808,63,-0.6107208965500587,33.33333333333333,15.54,18.800476190476196,37.76190476190476,0.8249303640729424,8.633174031639069,-5.232668360644621,8,33,0,15,15,0,52.38095238095239,0.0,23.809523809523807,23.809523809523807,0.0
MONC.MI,2015-01-02,2026-04-08,2862,1450.0,116.0,0.17400000000000002,5.592275640550629,1.6918585190406614,1.421797983889698,459.22756405506294,69.18585190406614,42.17979838896979,-417.04776566609314,-45.795067787612595,-29.345728862716403,-31.545341576319363,58,1.1077319300667807,36.206896551724135,15.93155172413793,18.32931034482759,36.0,1.350026206542235,11.800081609240797,-4.9608989689238765,5,33,0,16,9,0,56.896551724137936,0.0,27.586206896551722,15.517241379310345,0.0
NEXI.MI,2019-04-18,2026-04-08,1769,537.0,66.0,0.099,0.4269461461824412,0.5086128478855221,0.4605174696261359,-57.30538538175588,-49.13871521144779,-53.948253037386415,3.357132344369468,-84.94422558985045,-62.1222541450692,-64.6594783977517,33,-2.1329526333281907,27.27272727272727,16.349999999999998,18.476363636363637,23.242424242424242,0.4666361564808202,6.842384199531464,-5.498703945650562,10,20,0,7,6,0,60.60606060606061,0.0,21.21212121212121,18.181818181818183,0.0
PIRC.MI,2017-10-04,2026-04-08,2158,1004.0,92.0,0.138,1.179613708695604,0.5654996507905984,0.4925341553594796,17.9613708695604,-43.45003492094016,-50.74658446405205,-68.70795533361245,-60.29708035727921,-54.06441907340408,-58.394994064989945,46,-1.389655827918693,34.78260869565217,16.074782608695653,19.136521739130433,31.152173913043477,0.5828564893799522,5.582403784243215,-5.108087621071709,8,28,0,10,8,0,60.86956521739131,0.0,21.73913043478261,17.391304347826086,0.0
PRY.MI,2015-01-02,2026-04-08,2862,1608.0,130.0,0.195,9.468027748315835,1.369934145524057,1.1271735513670884,846.8027748315835,36.9934145524057,12.717355136708841,-834.0854196948746,-49.8506541327817,-52.44250388318268,-59.07088284865798,65,0.8240709278831294,36.92307692307693,15.577846153846153,18.555230769230768,35.33846153846154,1.2481342918906402,11.226418708807989,-5.265108260950934,9,35,0,18,12,0,53.84615384615385,0.0,27.692307692307693,18.461538461538463,0.0
PST.MI,2015-10-27,2026-04-08,2653,1618.0,62.0,0.093,5.8550593627093495,3.026222134000106,2.7575072505972034,485.50593627093497,202.6222134000106,175.75072505972034,-309.7552112112146,-46.62032989816562,-26.607471803494498,-27.811718384885907,31,3.720699491927609,51.61290322580645,16.092903225806452,21.720322580645163,74.80645161290323,3.111520627641391,10.62291391663139,-3.641662561089755,5,9,0,8,14,0,29.03225806451613,0.0,25.806451612903224,45.16129032258064,0.0
REC.MI,2015-01-02,2026-04-08,2862,1635.0,104.0,0.156,5.041221495150978,1.8560958249204935,1.5873114471958556,404.1221495150978,85.60958249204936,58.73114471958556,-345.39100479551223,-37.120693132601076,-23.059164021156942,-23.97724710938701,52,1.2133873206678216,42.30769230769231,15.997884615384615,19.760384615384616,44.98076923076923,1.4795866556935082,8.84816943732969,-4.385452898217549,4,21,0,17,14,0,40.38461538461539,0.0,32.69230769230769,26.923076923076923,0.0
SRG.MI,2015-01-02,2026-04-08,2862,1787.0,76.0,0.114,2.993334097157096,1.6941677335464942,1.5117421562346984,199.33340971570962,69.41677335464942,51.17421562346984,-148.15919409223977,-37.62743027051756,-22.35117789544302,-25.320699510149293,38,1.2748891012816588,50.0,16.919210526315787,21.808684210526312,67.3157894736842,1.6751957719363837,6.326132126182903,-3.7763539236195856,4,12,0,6,20,0,31.57894736842105,0.0,15.789473684210526,52.63157894736842,0.0
STLAM.MI,2015-01-02,2026-04-08,2862,1374.0,144.0,0.216,2.1642635807166384,0.49377554286380815,0.39787322364535627,116.42635807166384,-50.62244571361918,-60.212677635464374,-176.63903570712822,-76.29557676757469,-56.337745871275736,-62.13167471654361,72,-0.8080657545410337,27.77777777777778,15.335416666666667,17.728055555555557,27.47222222222222,0.8119443011097887,12.559979822449346,-5.9496217456911795,9,50,0,15,7,0,69.44444444444444,0.0,20.833333333333336,9.722222222222223,0.0
TEN.MI,2015-01-02,2026-04-08,2862,1390.0,124.0,0.186,2.8703836400161493,2.014932828199304,1.6726055283524668,187.03836400161492,101.49328281993041,67.26055283524668,-119.77781116636824,-76.43375277961485,-35.99486093592182,-38.36190255740164,62,1.3548779591667905,37.096774193548384,16.182419354838707,18.64983870967742,31.967741935483872,1.3814640508361626,13.226654307825232,-5.6464260413240845,6,37,0,14,11,0,59.67741935483871,0.0,22.58064516129032,17.741935483870968,0.0
TRN.MI,2015-01-02,2026-04-08,2862,1900.0,64.0,0.096,4.318220127768057,2.119821031832003,1.9257243596900275,331.82201277680565,111.98210318320032,92.57243596900275,-239.2495768078029,-30.56292728935167,-19.50961625893649,-20.352531639666626,32,2.2699276668916806,62.5,17.781875,23.377812499999997,85.21875,2.359687688290756,6.3030008023189055,-4.451860892153696,3,8,0,6,18,0,25.0,0.0,18.75,56.25,0.0
UCG.MI,2015-01-02,2026-04-08,2862,1470.0,134.0,0.201,3.5385428723439203,1.1540935963149443,0.9441673513655199,253.85428723439202,15.409359631494436,-5.5832648634480115,-259.43755209784,-79.51761580592354,-61.280496898194926,-64.87605692825262,67,0.32069467618247743,40.298507462686565,15.734925373134326,17.99716417910448,31.52238805970149,1.0931244076138449,9.341333067010083,-5.768236237626157,10,34,0,21,12,0,50.74626865671642,0.0,31.343283582089555,17.91044776119403,0.0
UNI.MI,2015-01-02,2026-04-08,2862,1644.0,126.0,0.189,9.989182859944036,2.2666674180965924,1.8757854374701577,898.9182859944035,126.66674180965924,87.57854374701577,-811.3397422473877,-59.77733065631471,-54.40001395634033,-56.6769651962004,63,1.5847664119732063,42.857142857142854,15.889999999999997,19.017142857142865,37.53968253968254,1.5339221028578012,10.623495761689433,-5.194280600313963,7,30,0,16,17,0,47.61904761904761,0.0,25.396825396825395,26.984126984126984,0.0
